2023-03-20 17:11:12.280249 [INFO   ] [APP] application started
2023-03-20 17:11:20.277686 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.277717 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.277791 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:20.277831 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.277841 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.277872 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:20.277992 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.278013 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.278116 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.278134 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.278311 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.278327 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.278504 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.278524 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.384084 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.384107 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:20.565122 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.565149 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.565214 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:20.565245 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.565252 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.565296 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:20.567138 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.567158 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.567333 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.567347 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.567399 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.567413 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.567618 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.567632 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.824543 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.824592 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.824666 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:20.824701 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.824710 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.824740 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:20.824994 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.825012 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.825339 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.825359 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.825535 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.825550 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.825662 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.825679 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.921372 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-20 17:11:20.921404 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:20.921483 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.921505 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.923116 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.923141 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:21.020808 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.020852 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.020978 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:21.020996 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.021003 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.022084 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.022107 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.272169 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.272199 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.272256 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:21.272298 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.272309 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.272347 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:21.272894 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.272913 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.273565 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.273587 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.366086 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.366114 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:21.575958 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.575985 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.576056 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:21.576106 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.576120 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.576154 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:21.576320 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.576336 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.576638 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.576657 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.616092 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-20 17:11:21.616122 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:21.616297 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.616315 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.616567 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.616581 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:21.769943 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.769972 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:21.808768 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.808791 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:21.816996 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.817031 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.817106 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:21.817168 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:21.817176 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:21.817204 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:21.818908 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.818923 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.819057 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.819071 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.819183 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.819197 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:21.819294 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:21.819305 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.103588 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.103619 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.103649 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.103658 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.222022 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.222050 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:22.310410 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-20 17:11:22.310439 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:22.310451 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.310835 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.310857 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:22.346340 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.346376 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.346460 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:22.346499 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.346511 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.346546 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-20 17:11:22.347612 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.347636 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.348028 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-20 17:11:22.348052 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:22.348063 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.348142 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.348163 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.348267 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.348281 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:22.574057 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.574087 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.574160 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:22.574221 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.574241 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.574285 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-20 17:11:22.574757 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.574776 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.575064 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-20 17:11:22.575082 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:22.575176 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.575193 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.575281 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.575294 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:22.575396 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.575406 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:22.822653 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.822680 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.822738 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:22.822771 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:22.822780 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:22.822808 [DEBUG  ] [CON] 'Exec' sent 24 bytes
2023-03-20 17:11:22.822873 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:22.822903 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
